name;zipcode;total_employment;total_senior_employment
Romans;01328;313,1391088;6,15542582
Rossillon;01329;8,094846942;0
Ruffieu;01330;28,05963044;0
Saint-Alban;01331;23,84047582;0
Saint-André-de-Bâgé;01332;110,6727273;7,876807397
Saint-André-de-Corcy;01333;1226,411562;102,1497616
Saint-André-d'Huiriat;01334;66,30928151;0
Saint-André-le-Bouchoux;01335;87,68280451;0
Saint-André-sur-Vieux-Jonc;01336;229,9555017;12,0634456
Saint-Bénigne;01337;217,0787748;15,83881114
Saint-Benoît;01338;262,1998421;7,821996447
Saint-Bernard;01339;118,3659882;15,81161476
Saint-Bois;01340;7,735294118;0
Saint-Champ;01341;26,62520141;0
Sainte-Croix;01342;75,76061789;7,940074906
Saint-Cyr-sur-Menthon;01343;777,7870826;24,24035777
Saint-Denis-lès-Bourg;01344;1104,169287;79,41532556
Saint-Denis-en-Bugey;01345;202,8162573;7,91184573
Saint-Didier-d'Aussiat;01346;114,3850495;0
Saint-Didier-de-Formans;01347;220,1963514;31,69642857
Saint-Didier-sur-Chalaronne;01348;1089,19005;36,12719465
Saint-Éloi;01349;38,93975212;3,809090909
Saint-Étienne-du-Bois;01350;549,6029369;23,23439106
Saint-Étienne-sur-Chalaronne;01351;224,2105636;11,9114094
Saint-Étienne-sur-Reyssouze;01352;51,52018511;3,927145742
Sainte-Euphémie;01353;169,3797461;11,26936818
Saint-Genis-Pouilly;01354;3003,396627;403,701818
Saint-Genis-sur-Menthon;01355;31,41778721;3,829977629
Saint-Georges-sur-Renon;01356;31,4046714;0
Saint-Germain-de-Joux;01357;74,56544724;0
Saint-Germain-les-Paroisses;01358;32,17962003;0
Saint-Germain-sur-Renon;01359;32,15036519;0
Saint-Jean-de-Gonville;01360;245,0056348;16,08628769
Saint-Jean-de-Niost;01361;154,6162699;24,10647504
Saint-Jean-de-Thurigneux;01362;111,6678382;8
Saint-Jean-le-Vieux;01363;502,8400467;19,81121706
Saint-Jean-sur-Reyssouze;01364;115,3423077;0
Saint-Jean-sur-Veyle;01365;204,6482419;16
Sainte-Julie;01366;519,1918469;240,499975
Saint-Julien-sur-Reyssouze;01367;171,3845078;8,104367822
Saint-Julien-sur-Veyle;01368;68,7205313;7,880758808
Saint-Just;01369;591,603267;17,60332264
Saint-Laurent-sur-Saône;01370;510,6018344;14,71155708
Saint-Marcel;01371;148,767521;12,0802005
Saint-Martin-de-Bavel;01372;72,40817314;3,979260761
Saint-Martin-du-Frêne;01373;400,7942953;21,29967005
Saint-Martin-du-Mont;01374;290,8520827;11,7466208
Saint-Martin-le-Châtel;01375;84,7275852;4,071979434
Saint-Maurice-de-Beynost;01376;1969,180431;247,2056326
Saint-Maurice-de-Gourdans;01378;378,6421446;16,87598731
Saint-Maurice-de-Rémens;01379;69,22352109;0
Saint-Nizier-le-Bouchoux;01380;138,9831876;0
